School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
P.S. 272 - BROOKLYN,K,18,PLAYGROUND REDEVELOPMENT AND TCU REMOVAL,1323000,CIP,K272,101-24 SEAVIEW AVENUE,Brooklyn,11236,BROOKLYN ,40.635916,-73.886412,18,46,1034,3235262,3083290250,Canarsie                                                                   ,"(40.635916, -73.886412)",
P.S. 123 - QUEENS,Q,27,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,1082000,CIP,Q123,145-01 119 AVENUE,Queens,11436,QUEENS   ,40.678296,-73.79562,12,28,18402,4260828,4120190010,Baisley Park                                                               ,"(40.678296, -73.79562)",11/13/2017
P.S. 81 - BRONX,X,10,WINDOW/ROOFS/EXT MASONRY/FLOOD,3147559,CIP,X081,5550 RIVERDALE AVENUE,Bronx,10471,BRONX    ,40.903553,-73.905229,8,11,337,2084806,2058501550,North Riverdale-Fieldston-Riverdale                                        ,"(40.903553, -73.905229)",
I.S. 61 - QUEENS,Q,24,MASONRY/ROOFS/PARAPETS,5890000,CIP,Q061,98-50 50 AVENUE,Queens,11368,QUEENS   ,40.742668,-73.863307,4,21,44302,4046834,4018910032,Corona                                                                     ,"(40.742668, -73.863307)",11/13/2017
I.S. 340 - BROOKLYN,K,13,ELECTRICAL LIGHTING FIXTURES,283000,CIP,K874,227 STERLING PLACE,Brooklyn,11238,BROOKLYN ,40.676094,-73.97038,8,35,163,3029060,3011640057,Prospect Heights                                                           ,"(40.676094, -73.97038)",
P.S. 63 - QUEENS,Q,27,WATER PENETRATION/EXT MASONRY/PARAPETS/ROOFS,4368000,CIP,Q063,90-15 SUTTER AVENUE,Queens,11417,QUEENS   ,40.67641,-73.846773,10,32,54,4190727,4091550025,Ozone Park                                                                 ,"(40.67641, -73.846773)",
I.S. 232 - BRONX,X,9,OIL VAULT & STAIRWAY/PIPING/TOILETS/FLOOD,8819000,CIP,X082,1700 MACOMBS ROAD,Bronx,10453,BRONX    ,40.849623,-73.91607,5,14,21502,2008460,2028660070,University Heights-Morris Heights                                          ,"(40.849623, -73.91607)",11/13/2017
P.S. 169 - QUEENS,Q,25,FY16 RESO A AUDITORIUM UPGRADE,268500,CIP,Q169,18-25 212 STREET,Queens,11360,QUEENS   ,40.782298,-73.779099,7,19,99704,4131147,4058650050,Ft. Totten-Bay Terrace-Clearview                                           ,"(40.782298, -73.779099)",11/13/2017
I.S. 211 - BROOKLYN,K,18,INTERIOR SPACES/HEATING PLT/ELEC/CLIMATE/FLOOD EL,10968000,CIP,K211,1001 EAST 100 STREET,Brooklyn,11236,BROOKLYN ,40.643278,-73.896212,18,46,988,3326732,3082270001,Canarsie                                                                   ,"(40.643278, -73.896212)",
P.S. 321 - BROOKLYN,K,15,FULL PROGRAM ACCESSIBILITY/FIRE ALARM,5581000,CIP,K321,180 7TH AVENUE,Brooklyn,11215,BROOKLYN ,40.67146,-73.977783,6,39,155,3337516,3009710028,Park Slope-Gowanus                                                         ,"(40.67146, -73.977783)",11/13/2017
